,minimum,maximum
MAR35860,0.0,499.9999999999999
MAR35861,0.0,0.0
MAR35862,0.0,499.99999999999994
MAR35865,0.0,0.0
MAR35869,0.0,0.0
MAR35871,0.0,0.0
MAR35872,0.0,0.0
MAR35873,0.0,499.9999999999999
MAR35874,0.0,0.0
MAR35875,0.0,499.99999999999994
MAR35878,0.0,0.0
MAR35882,0.0,0.0
MAR35884,0.0,0.0
MAR35885,0.0,0.0
MAR35886,0.0,499.9999999999999
MAR35887,0.0,0.0
MAR35888,0.0,499.99999999999994
MAR35891,0.0,0.0
MAR35895,0.0,0.0
MAR35897,0.0,0.0
MAR35898,0.0,0.0
MAR35899,0.0,500.0
MAR35902,0.0,0.0
MAR35903,0.0,0.0
MAR35907,0.0,0.0
MAR35909,0.0,0.0
MAR35910,0.0,0.0
MAR35911,0.0,499.99999999999994
MAR35914,0.0,0.0
MAR35915,0.0,0.0
MAR35919,0.0,0.0
MAR35921,0.0,0.0
MAR35922,0.0,0.0
MAR35923,0.0,500.0
MAR35926,0.0,0.0
MAR35927,0.0,0.0
MAR35931,0.0,0.0
MAR35933,0.0,0.0
MAR36038,0.0,499.9999999999999
MAR36039,0.0,0.0
MAR36048,0.0,0.0
MAR36049,0.0,499.99999999999994
DM_Anchor_SDC1,0.0,0.6684491978609626
DM_Edited_Ectodomain_HS_on_SDC1,0.0,1.2649999999999997
DM_Truncated_Ectodomain_HS_on_SDC1,0.0,1.265
DM_Stub_SDC1,0.0,0.6684491978609625
DM_Shed_Ectodomain_HS_on_SDC1,0.0,0.6684491978609625
DM_Shed_HS_Fragment,0.0,12.649999999999995
DM_Anchor_SDC2,0.0,1.0000000000000002
DM_Edited_Ectodomain_HS_on_SDC2,0.0,1.2649999999999992
DM_Truncated_Ectodomain_HS_on_SDC2,0.0,1.265
DM_Stub_SDC2,0.0,1.0000000000000002
DM_Shed_Ectodomain_HS_on_SDC2,0.0,1.0
DM_Anchor_SDC4,0.0,0.9999999999999997
DM_Edited_Ectodomain_HS_on_SDC4,0.0,1.2649999999999995
DM_Truncated_Ectodomain_HS_on_SDC4,0.0,1.265
DM_Stub_SDC4,0.0,1.0000000000000007
DM_Shed_Ectodomain_HS_on_SDC4,0.0,1.0
DM_Stub_SDC1_A,0.0,0.6684491978609627
DM_Stub_SDC1_B,0.0,0.6684491978609624
DM_Stub_SDC1_E,0.0,0.6684491978609625
DM_Clearance_CS_A,0.0,15.117318435754184
DM_Clearance_CS_B,0.0,15.117318435754191
DM_Clearance_CS_E,0.0,8.021390374331553
DM_Anchor_GPC1,0.0,0.4488330341113106
DM_Truncated_Ectodomain_HS_on_GPC1,0.0,0.4488330341113106
DM_Shed_Ectodomain_HS_on_GPC1,0.0,0.4488330341113105
DM_Anchor_NG2,0.0,0.10771219302024994
DM_Stub_NG2_A,0.0,0.10771219302024987
DM_Stub_NG2_B,0.0,0.10771219302024988
DM_Stub_NG2_E,0.0,0.10771219302024991
DM_Clearance_CS_Fragment_A,0.0,15.117318435754191
DM_Clearance_CS_Fragment_B,0.0,15.117318435754191
DM_Clearance_CS_Fragment_E,0.0,8.021390374331553
DM_Anchor_Betaglycan,0.0,0.29481132075471694
DM_Edited_Ectodomain_HS_on_Betaglycan,0.0,0.29481132075471694
DM_Truncated_Ectodomain_HS_on_Betaglycan,0.0,0.29481132075471694
DM_Stub_Betaglycan,0.0,0.29481132075471694
DM_Shed_Ectodomain_HS_on_Betaglycan,0.0,0.29481132075471694
DM_Truncated_Perlecan,0.0,0.056960583276372746
DM_Truncated_Versican_A,0.0,0.07370283018867922
DM_Truncated_Versican_B,0.0,0.07370283018867922
DM_Truncated_Versican_E,0.0,0.07370283018867922
DM_Shed_CS_Fragment_A,0.0,15.117318435754179
DM_Shed_CS_Fragment_B,0.0,15.117318435754191
DM_Shed_CS_Fragment_E,0.0,8.021390374331553
DM_Truncated_Biglycan_A,0.0,0.681198910081743
DM_Truncated_Biglycan_B,0.0,0.6811989100817438
DM_Truncated_Decorin_A,0.0,0.6983240223463686
DM_Truncated_Decorin_B,0.0,0.6983240223463686
DM_Truncated_Lumican,0.0,0.741839762611276
