,minimum,maximum
MAR09227,0.0,1000.0
MAR09228,0.0,1000.0
MAR09229,-1000.0,1000.0
MAR09230,0.0,1000.0
MAR09231,-1000.0,1000.0
MAR09232,-1000.0,1000.0
MAR09233,0.0,1000.0
MAR09234,-1000.0,1000.0
MAR09235,-1000.0,1000.0
MAR09236,-1000.0,1000.0
MAR09237,0.0,1000.0
MAR09238,-1000.0,1000.0
MAR09239,-1000.0,0.0
MAR09240,-1000.0,0.0
MAR09241,0.0,1000.0
MAR09242,-1000.0,1000.0
MAR09243,-1000.0,1000.0
MAR09244,0.0,555.5555522222222
MAR09245,0.0,553.3342306573713
MAR09246,-1000.0,1000.0
MAR09247,-1000.0,1000.0
MAR09248,0.0,500.0
MAR09249,0.0,500.0
MAR09250,0.0,1000.0
MAR09251,0.0,1000.0
MAR09252,0.0,999.9200347775175
MAR09253,-1000.0,1000.0
MAR09254,-1000.0,1000.0
MAR09255,-1000.0,1000.0
MAR09256,0.0,1000.0
MAR09257,0.0,1000.0
MAR09258,-1000.0,1000.0
MAR09259,-1000.0,1000.0
MAR09260,-1000.0,1000.0
MAR09261,0.0,1000.0
MAR09262,-1000.0,1000.0
MAR09263,-1000.0,1000.0
MAR09264,0.0,1000.0
MAR09265,-1000.0,0.0
MAR09266,0.0,1000.0
MAR09267,-1000.0,0.0
MAR09268,-1000.0,1000.0
MAR09269,-1000.0,0.0
MAR09270,-1000.0,0.0
MAR09271,-1000.0,1000.0
MAR09272,-1000.0,1000.0
MAR09273,-1000.0,1000.0
MAR09275,0.0,1000.0
MAR09276,-1000.0,0.0
MAR09277,0.0,1000.0
MAR09278,0.0,0.0
MAR09279,-1000.0,1000.0
MAR09280,-1000.0,999.9999600000001
MAR09281,-1000.0,1000.0
MAR09282,-1000.0,1000.0
MAR09283,-1000.0,1000.0
MAR09284,-1000.0,1000.0
MAR09285,-1000.0,1000.0
MAR09286,-1000.0,1000.0
MAR09287,-1000.0,1000.0
MAR09288,0.0,1000.0
MAR09289,-1000.0,0.0
MAR09290,-1000.0,1000.0
MAR09291,-1000.0,0.0
MAR09292,-1000.0,1000.0
MAR09293,-1000.0,1000.0
MAR09294,-1000.0,1000.0
MAR09295,-1000.0,1000.0
MAR09296,-1000.0,1000.0
MAR09297,-1000.0,1000.0
MAR09298,0.0,1000.0
MAR09299,-1000.0,0.0
MAR09300,-1000.0,1000.0
MAR09301,-1000.0,1000.0
MAR09302,-1000.0,1000.0
MAR09303,0.0,1000.0
MAR09304,-1000.0,999.9200347775175
MAR09305,-1000.0,1000.0
MAR09306,0.0,1000.0
MAR09307,-1000.0,1000.0
MAR09308,0.0,1000.0
MAR09309,-1000.0,1000.0
MAR09310,-1000.0,1000.0
MAR09311,-333.3333333333333,1000.0
MAR09312,-1000.0,0.0
MAR09313,0.0,1000.0
MAR09314,-1000.0,1000.0
MAR09315,0.0,1000.0
MAR09316,0.0,1000.0
MAR09317,-1000.0,1000.0
MAR09318,-1000.0,1000.0
MAR09319,0.0,999.9200347775175
MAR09320,0.0,555.5555522222222
MAR09321,0.0,555.5555522222222
MAR09322,0.0,1000.0
MAR09323,0.0,999.9675
MAR09324,0.0,499.98375000000004
MAR09325,0.0,333.3225
MAR09326,0.0,333.33333333333337
MAR09327,0.0,999.9675000000001
MAR09328,0.0,1000.0
MAR09329,0.0,1000.0
MAR09330,0.0,1000.0
MAR09331,0.0,399.9870000000001
MAR09332,0.0,666.645
MAR09333,-1000.0,1000.0
MAR09334,0.0,249.99187500000002
MAR09335,0.0,499.96001738875873
MAR09336,-1000.0,1000.0
MAR09337,0.0,500.0
MAR09338,-1000.0,1000.0
MAR09339,-1000.0,1000.0
MAR09340,-1000.0,1000.0
MAR09341,-1000.0,1000.0
MAR09342,0.0,1000.0
MAR09343,-1000.0,1000.0
MAR09344,0.0,333.33333333333337
MAR09345,0.0,333.33333333333337
MAR09346,-1000.0,1000.0
MAR09347,0.0,1000.0
MAR09348,-1000.0,1000.0
MAR09349,-1000.0,1000.0
MAR09350,-1000.0,1000.0
MAR09351,-1000.0,1000.0
MAR09352,-1000.0,1000.0
MAR09353,-1000.0,1000.0
MAR09354,-1000.0,1000.0
